Names	Acronyme	ProteomeSize	GenomeSizeMb	Phenotype	LINEAGE	LINSIMPLE
Puccina graminis	Pgra	15818	115.5	MULTICELL	BASIDIO	
Laccaria bicolor 	Lacbi	17895	60.7	MULTICELL	BASIDIO	
Schizophyllum commune	Scom	13128	37.9	MULTICELL	BASIDIO	
Coprinopsis cinerea	Ccin	13339	36.2	MULTICELL	BASIDIO	
Malassezia globosa	Magl	4274	8.96	YEAST	BASIDIO	
Agaricus bisporus	Agbi	10397	30.23	MULTICELL	BASIDIO	
Fibroporia radiculosa	Fira	9251	28.38	MULTICELL	BASIDIO	
Postia placenta 	Popl	8983	90.89	MULTICELL	BASIDIO	
Melampsora larici-populina 	Mela	16237	101.13	MULTICELL	BASIDIO	
Serpula lacrymans	Sela	12722	42.8	MULTICELL	BASIDIO	
Galerina marginata 	Gama	21357	59.42	MULTICELL	BASIDIO	
Jaapia argillacea	Jaar	16341	45.05	MULTICELL	BASIDIO	
Moniliophthora roreri	Moro	17976	52.2	MULTICELL	BASIDIO	
Sphaerobolus stellatus	Spst	36095	176.37	MULTICELL	BASIDIO	
Rhizoctonia solani	Rhso	12738	50.14	MULTICELL	BASIDIO	
Tulasnella calospora	Tuca	19554	62.39	MULTICELL	BASIDIO	
Phlebiopsis gigantea	Phgi	12014	54.8	MULTICELL	BASIDIO	
Serendipita vermifera	Seve	15245	38.09	MULTICELL	BASIDIO	
Cylindrobasidium torrendii	Cyto	13936	31.57	MULTICELL	BASIDIO	
Dichomitus squalens	Disq	12287	42.75	MULTICELL	BASIDIO	
Heterobasidion irregulare	Heir	13275	33.65	MULTICELL	BASIDIO	
Piriformospora indica	Piin	11766	24.95	MULTICELL	BASIDIO	
Botryobasidium botryosum	Bobo	16502	46.67	MULTICELL	BASIDIO	
Gloeophyllum trabeum	Gltr	11755	37.18	MULTICELL	BASIDIO	
Auricularia delicata	Aude	23555	74.92	MULTICELL	BASIDIO	
Ceriporiopsis subvermispora	Cesu	12123	38.97	MULTICELL	BASIDIO	
Fomitiporia mediterranea	Fome	11338	63.35	MULTICELL	BASIDIO	
Trametes versicolor	Trve	14302	44.79	MULTICELL	BASIDIO	
Fomitopsis pinicola	Fopi	13852	41.61	MULTICELL	BASIDIO	
Dacryopina	Dacr	10240	29.5	MULTICELL	BASIDIO	
Tremella mesenterica	Trme	8308	28.64	MULTICELL	BASIDIO	
Tilletiaria anomala	Tian	6808	18.69	MULTICELL	BASIDIO	
Allomyces macrogynus 	Amag	17386	52.6	MULTICELL	CHYTRID	
Rhizophagus irregularis	Rhir	17467	37.5	MULTICELL	CHYTRID	
Bipolaris maydis	Bima	13316	36.46	MULTICELL	PEZIZO	
Neofusicoccum parvum	Nepa	10366	42.59	MULTICELL	PEZIZO	
Trichophyton rubrum	Trru	8706	22.53	MULTICELL	PEZIZO	
Penicillium digitatum	Pedi	8961	26.08	MULTICELL	PEZIZO	
Fonsecaea multimorphosa	Fomu	12369	33.45	MULTICELL	PEZIZO	
Rhinocladiella mackenziei	Rhma	11382	32.47	MULTICELL	PEZIZO	
Cladophialophora bantiana	Clba	12762	36.72	MULTICELL	PEZIZO	
Byssochlamys spectabilis	Bysp	8877	28.94	MULTICELL	PEZIZO	
Endocarpon pusillum	Enpu	20923	91.14	MULTICELL	PEZIZO	
Cyphellophora europaea	Cyeu	11094	28.78	MULTICELL	PEZIZO	
Coniosporium apollinis	Coap	9308	28.65	MULTICELL	PEZIZO	
Stachybotrys chartarum	Stch	11453	36.48	MULTICELL	PEZIZO	
Metarhizium anisopliae	Mean	10891	38.32	MULTICELL	PEZIZO	
Marssonina brunnea	Mabr	10027	51.95	MULTICELL	PEZIZO	
Glarea lozoyensis	Gllo	13083	39.51	MULTICELL	PEZIZO	
Pseudogymnoascus destructans	Psde	9153	30.58	MULTICELL	PEZIZO	
Trichoderma virens	Trvi	12406	39.01	MULTICELL	PEZIZO	
Sporothrix brasiliensis	Spbr	9091	33.21	MULTICELL	PEZIZO	
Sclerotinia borealis	Scbo	10166	39.45	MULTICELL	PEZIZO	
Acremonium chrysogenum	Acch	8901	27.45	MULTICELL	PEZIZO	
Ophiostoma piceae	Oppi	8894	32.84	MULTICELL	PEZIZO	
Togninia minima	Tomi	8834	47.47	MULTICELL	PEZIZO	
Eutypa lata	Eulat	11685	54.01	MULTICELL	PEZIZO	
Stachybotrys chlorohalonata	Stchl	10706	34.39	MULTICELL	PEZIZO	
Metacordyceps brittlebankisoides	Mebrt	11535	40.7	MULTICELL	PEZIZO	
Metarhizium brunneum	Mebu	10689	36.91	MULTICELL	PEZIZO	
Pestalotiopsis fici	Pefi	15413	51.91	MULTICELL	PEZIZO	
Oidiodendron maius	Oima	16702	46.43	MULTICELL	PEZIZO	
Ophiocordyceps sinensis	Opsi	6972	78.52	MULTICELL	PEZIZO	
Grosmannia clavigera	Grcl	8312	29.79	MULTICELL	PEZIZO	
Gaeumannomyces graminis	Gagr	14650	43.77	MULTICELL	PEZIZO	
Nectria haematococca	Neha	15708	51.29	MULTICELL	PEZIZO	
Torrubiella hemipterigena	Tohe	11471	28.47	MULTICELL	PEZIZO	
Erysiphe necator	Erne	6484	43.33	MULTICELL	PEZIZO	
Sordaria macrospora	Soma	10827	39.96	MULTICELL	PEZIZO	
Dactylellina haptotyla	Daha	10959	39.53	MULTICELL	PEZIZO	
Drechslerella stenobrocha	Drste	5597	21.17	MULTICELL	PEZIZO	
 Tuber melanosporum	Tmel	7496	123.6	MULTICELL	PEZIZO	
Blumeria graminis	Blgr	6461	87.9	MULTICELL	PEZIZO	
Pyronema confluens	Pcon	13369	50	MULTICELL	PEZIZO	
Magnaporthe oryzae 	Maor	12647	41.7	MULTICELL	PEZIZO	
