Kinase	norm.ANID	norm.ATHA	norm.CALB	norm.CCIN	norm.CNEO	norm.DDIS	norm.HSAP	norm.MBRE	norm.NCRA	norm.NIRR	norm.PCON	norm.PGRA	norm.PJIR	norm.SCER	norm.SCOMP	norm.SCRY	norm.SJAP	norm.SOCT	norm.SPOM	norm.TDEF	norm.TMEL	norm.UMAY	norm.YLIP
Funk1	9.28E-05	3.65E-05	0.000321492	0.009970762	0.000143369	0.000162364	0.000131464	0.001087429	0.00020496	0.004944561	0.000523599	0.001201163	0	0	0.000284333	0.000193686	0	0.000200521	0.000391236	0.000433934	0.000133404	0	0
Kin20	0.004270727	0.003501605	0.00739431	0.006297324	0.004444444	0.011121935	0.006704645	0.014789039	0.005431441	0.005094396	0.004039195	0.005247187	0.010233087	0.006285035	0.005117998	0.003873717	0.004919041	0.00441147	0.006259781	0.00542417	0.004802561	0.005009577	0.003566998
CAMK/MAPKAPK/MNK protein kinase	0	0	0	0	0	0	4.38E-05	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGC/PKC/PKCH protein kinase	0	0	0	0	0	0	8.76E-05	0.000217486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMK protein kinase	0.000278526	0.000838926	0.000642983	0.000224904	0.000573477	0.000324728	0.000262927	0.000434972	0.00040992	0.00029967	0.0002992	0.000126438	0.000568505	0.001019195	0.000284333	0.000387372	0.00020496	0.000401043	0.000195618	0.0006509	0.000933831	0.000294681	0.000465261
CMGC/MAPK/P38 protein kinase	0.000185684	0	0.000160746	7.50E-05	0.000143369	0	0.000175285	0.000217486	0.00010248	0.000149835	7.48E-05	6.32E-05	0	0.000169866	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0.000216967	0.000133404	0.000147341	0.000155087
ULK/ULK protein kinase	9.28E-05	0.0001459	0.000160746	7.50E-05	0.000143369	8.12E-05	0.000175285	0.000108743	0.00010248	0.000149835	7.48E-05	6.32E-05	0	0	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0.000216967	0.000133404	0.000147341	0.000155087
CMGC/CDK/PCTAIRE protein kinase	0	0	0	0	0	0	0.000175285	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TKL/CZAK protein kinase	0	0	0	0	0	0.000243546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGC/NDR/LATS protein kinase	0	0	0	0	0	0	0	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
